Book	Chapter	Question Number	Question	Reference Verse	Correct Answer	Answer A	Answer B	Answer C	Answer D	
Jos	3	7	Who were the priests?	3	A	Levites	Gadites	Reubenites	Good men from different tribes	
Jos	3	8	Why were the Israelites to follow the ark of the covenant at the Jordan River?	4	D	So the ark of the covenant could protect them	So they could protect the ark from anyone following them	Because the ark of the covenant had a GPS system	In order that they may know the way to go . . . for they had not passed this way before	
Jos	3	9	How far were the Israelites to stay behind the ark of the covenant?	4	C	45 meters	3,000 feet	2,000 cubits	B & C	
Jos	3	10	What did Joshua tell the Israelites to do while they waited to cross the Jordan?	5	B	Sing hymns of praise	Consecrate themselves	Observe a period of fasting and praying	Build an altar	
Jos	3	11	What did Joshua tell the Israelites that the Lord would do the next day?	5	A	Wonders among you	Great feats	Many miracles and healings	A & C	
Jos	3	12	Who told the priests to take up the ark of the covenant and pass before the people?	6	D	Officers of the people	A voice from heaven	Caleb	Joshua	
Jos	3	13	What was the Lord going to do for Joshua during the crossing of the Jordan River?	7	D	Teach him to swim	Give him miraculous strength	Cause his face to glow	Exalt him in the sight of all Israel	
Jos	3	14	What did the Lord want the Israelites to know about Joshua?	7	B	That Joshua was perfect	As the Lord was with Moses, He would be with Joshua	That Joshua was to be the first judge of Israel	That Caleb would follow Joshua	
Jos	3	15	What were the priests carrying the ark to do when they reached the brink of the waters?	8	C	Blow the trumpets three long blasts	Allow Joshua to lead them	Stand still in the Jordan	Celebrate the spies	
Jos	3	16	Why was the ark of the covenant going into the Jordan ahead of the people?	10- 11	B	Because it was sacred and fragile	So Israel would know that God is among them	So Israel would feel safe	A and B	
Jos	3	17	Which of the following was NOT listed as a nation in Canaan in Joshua 3?	10	A	Philistines	Hittites	Amorites	Canaanites	
Jos	3	18	How many men were chosen for a special job during the crossing of the Jordan?	12	C	Six	Eight	Twelve	Three	
Jos	3	19	From where were these men to be chosen?	12	B	From among the priests	A man from each tribe of Israel	From the tribe of Judah	From the family of Joshua	
Jos	3	20	What would happen when the priests bearing the ark set foot in the Jordan?	13	D	A mighty wind would blow from the north and dry up the river	An angel would stand in the river bed	The sun would stand still as they crossed	The waters would be cut off from flowing and stand in one heap	
Jos	3	21	Describe the Jordan River throughout the time of the harvest.	15	D	A small stream	Calm and still	Completely dried up	Overflows all its banks	
Jos	3	22	What happened at a town called Adam in the city beside Zarethan?	16	C	News spread that the Israelites were invading Canaan	People melted in fear at the sight of Israel	The waters of the Jordan River stood and rose up in a heap	The waters of the Jordan River flooded the town	
Jos	3	23	Where was the town called Adam located?	16	A	Very far away	Close by	Near to fords	B and C	
Jos	3	24	What happened to the water flowing toward the Sea of the Arabah?	16	D	It increased to flood stage	It flooded its banks	It became bitter	It was completely cut off	
Jos	3	25	What is another name for the Sea of the Arabah?	16	D	The Red Sea	The Mediterranean Sea	The Dead Sea	The Salt Sea	
Jos	3	26	Where did the people of Israel pass over the Jordan River?	16	B	Across from the city of Zarethan	Opposite Jericho	By the Valley of Achor	Across from the city of Adam	
Jos	3	27	How does scripture describe the Jordan River bed?	17	A	Dry ground	Muddy	Like sand	Rocky	
Jos	4	1	What were twelve men to do after all the nation finished passing over the Jordan?	2-3	D	Take 12 stones from the midst of the Jordan	Get 12 stones from the very place where the priests’ feet stood	Bring 12 stones to the place where they lodge for the night	All of the above	
Jos	4	2	How were these men to carry the stones out of the Jordan?	5	D	Wrapped in cloth	With one arm	Working together	Upon their shoulders	
Jos	4	3	Why were 12 stones gathered?	5	B	Because Israel crossed the Jordan in the twelfth month of the year	Because there were 12 tribes of the people of Israel	Because it took 12 days to cross the Jordan River	Because this was the 12th king for Israel to conquer	
Jos	4	4	Why were these stones gathered?	7	D	To build an altar for sacrificing the Passover lamb	To carve border markers for each tribe in the new land	To use as cornerstones when they built the temple	To be a memorial forever for the people of Israel	
Jos	4	5	Who set up the 12 stones?	9	C	God	The twelve men	Joshua	Caleb	
Jos	4	6	Were the 12 stones still there at the time of the writing of the book of Joshua?	9	D	No, they had been destroyed by fire	No, they had been destroyed by the people of Canaan	No one knows what happened to them	Yes	
Jos	4	7	How did the Israelites respond to the commands of Joshua during the crossing of the Jordan?	8	B	They complained	They did just as Joshua commanded	They did part of what Joshua commanded	They questioned Joshua’s authority	
Jos	4	8	How long did the priests bearing the ark of the covenant stand in the mist of the Jordan?	10	C	Until sundown	Until the water started to flow at their feet	Until everything was finished that the Lord commanded Joshua	Text doesn’t say	
Jos	4	9	How did the people pass over the Jordan River?	10	D	They strolled leisurely	They ran	They walked hand in hand	In haste	
Jos	4	10	Who passed over the Jordan River armed before the rest of Israel crossed?	12	D	Sons of Reuben	Sons of Gad	Half-tribe of Manasseh	All of the above	
Jos	4	11	Which of the following statements describe the men who passed over ahead of the people of Israel?	12-13	D	Armed	About 40,000	Ready for war	All of the above	
Jos	4	12	What happened to Joshua on the day the Israelites crossed the Jordan River?	14	D	He saw the glory of the Lord, and his face was so radiant	The Lord exalted him in the sight of all Israel	Israel stood in awe of Joshua	B and C	
Jos	4	13	What did Joshua command the priests carrying the ark of the testimony to do?	17	B	Lead the people to the city of Jericho	Come up out of the Jordan	Take up arms	Collect another stone from the middle of the Jordan River	
Jos	4	14	What happened when the soles of the feet of the priests were lifted up on dry ground?	18	C	A mighty wind began to blow from the west	There was the sound of a mighty trumpet from heaven	The waters of the Jordan returned to their place and overflowed all their banks	All of the above	
Jos	4	15	When did the people of Israel cross the Jordan?	19	A	On the tenth day of the first month	On the first day of the tenth month	On the tenth day of the twelfth month	On the first day of the first month	
Jos	4	16	Where did the Israel camp after crossing the Jordan?	19	D	Mount Nebo	Jerusalem	Jericho	Gilgal	
Jos	4	17	What did Joshua set up at Gilgal?	20	B	The tabernacle	The twelve stones taken from the Jordan	The twelve banners of the tribes of Israel	All of the above
Jos	4	18	Where else had the Lord dried up the water and allowed the people of Israel to cross?	23	C	The Dead Sea	The Euphrates River	The Red Sea	The Sea of Galilee	
Jos	5	1	Who heard how the Lord had dried up the waters of the Jordan for the people of Israel?	1	D	Kings of the Gibeonites	Kings of the Amorites	All the Canaanite kings who were by the sea	B and C	
Jos	5	2	What was their reaction to this news?	1	A	Their hearts melted	They prepared for battle	They joined force to fight Israel	B and C	
Jos	5	3	What happened at Gilbeath-haaraloth?	3	D	Joshua made flint knives	Joshua circumcised the sons of Israel	The priests circumcised the Israelites	A and B	
Jos	5	4	What happened to all the males who came out of Egypt?	4	B	Their shoes and clothes never wore out	They died in the wilderness on the way after coming out of Egypt	They were too old to do battle	They trained the younger men for battle in Canaan	
Jos	5	5	Who, from among the people, had not been circumcised?	5	D	All the people that came out of Egypt	People from the tribes of Reuben, Benjamin, and half-tribe of Manasseh	Priests from the tribe of Levi	The people born in the wilderness after they came out of Egypt	
Jos	5	6	How long did the people of Israel walk in the wilderness?	6	B	50 years	40 years	30 years	20 years	
Jos	5	7	Why did the men of war when leaving Egypt not see the promised land?	6	D	They had perished	They did not obey the voice of the Lord	The Lord had sworn to them that they would not see the land	All of the above	
Jos	5	8	How is the land of Canaan described?	6	A	A land flowing with milk and honey	A land of giants	A land with lots of grapes	A and B	
Jos	5	9	Whom had the Lord raised up in place of the men of war who came out of Egypt?	7	C	Soldiers of the tribes of Reuben, Gad, and half-tribe of Manasseh	Their grandchildren	Their children	Slaves and foreigners	
Jos	5	10	Why did Joshua circumcise the whole nation of Israel?	2, 5 & 7	D	The ones who were circumcised when they left Egypt had died  .	The people had not been circumcised on the way	God commanded Joshua to do it	All of the above	
Jos	5	11	How long did Israel remain camped after circumcising the whole nation?	8	B	12 days	Until they were healed	8 days	Text doesn’t say	
Jos	5	12	Which of the following is an accurate quote of the Lord?	9	A	Today I have rolled away the reproach of Egypt from you	Today I have extinguished the stink of Egypt from you	Today I have demolished the Egyptians hold over you	Today I have given you into the Canaanites hands	
Jos	5	13	Where was Gilgal?	10	D	In the desert east of the Jordan	In the hills west of Jericho	Around the land of Hebron	On the plains of Jericho	
Jos	5	14	What happened on the fourteenth day of the month?	10	C	Israel left Gilgal	Joshua circumcised the nation of Israel	The people of Israel kept the Passover	Jericho fell	
Jos	5	15	What was the first meal the people of Israel ate in the land of Canaan?	11	D	Produce of the land	Unleavened cakes	Parched grain	All of the above	
Jos	5	16	What happened the day after the people of Israel ate their first food from the land of Canaan?	12	B	God sent quail too numerous to count	The manna ceased	The women quit cooking	The people began to complain	
Jos	5	17	What did Joshua see when he was by Jericho?	13	D	A chariot in a whirlwind	An angel with a flaming sword	A ladder leading up to heaven, with angels going up and down	A man standing before him with his drawn sword in his hand	
Jos	5	18	What did Joshua ask the man holding the sword?	13	A	Are you for us, or for our adversaries?	Why are you standing in our way?	Why are you holding a sword?	What is your name?	
Jos	5	19	Who was the man that Joshua saw by Jericho?	14	B	Moses Mighty Man	Commander of the army of the Lord	Prophet of the Lord	Mordechai’s Marine	
Jos	5	20	What did Joshua do when he saw this man?	14	C	Ran away	Wrestled with the man all night	Fell on his face to the earth and worshiped	Prepared a meal for the man	
Jos	5	21	What did Joshua ask when he realized who the man was?	14	D	Why have you come to me?	Will you help us in battle?	Have you come to torment me before I sleep?	What does my Lord say to his servant?	
Jos	5	22	How did the man respond to Joshua’s question?	15	D	Be strong and very courageous	Attack the city of Jericho this very night	Pray for a quick victory	Take off your sandals from your feet, for the place where you are standing is holy	
Jos	5	23	What did Joshua do when given this command?	15	B	Complained about the Israelites, and how they would not follow him	Did what the man told him	Trembled in fear of the majesty of the Lord	Worshipped the Lord with loud shouts of praise	
Jos	6	1	What did the city of Jericho do because of the people of Israel?	1	B	Built a wall	City was shut up – no one went out and none came in	Took up arms	A and C	
Jos	6	2	What did the Lord tell Joshua about Jericho?	2	D	See, I have caused Jericho to be afraid of you!	See, I have caused Jericho to not notice you!	See, I have given you the people of Jericho as slaves.	See, I have given Jericho into your hand, with its king and mighty men of valor.	
Jos	6	3	What instruction(s) did the Lord give Joshua concerning Jericho?	3-5	D	For six day you shall march around the city once	Seven priests shall bear trumpets of rams’ horns for six days	On the seventh day, march seven times and blow the trumpets	All of the above	
Jos	6	4	What did Joshua tell the priests as they prepared to take Jericho?	6	A	Take up the ark of the covenant & let seven priests bear seven trumpets of rams’ horns before the ark	It is not time to take Jericho.	Prepare an offering for the Lord	Take up the ark of the Lord and follow all the people while they encircle Jericho	
Jos	6	5	What did Joshua tell the people as they prepared to take Jericho?	7	D	Run around the city	Stand in a big circle around the city	Fast and pray so the Lord will give the city into our hands	Go forward March around the city	
Jos	6	6	As the people of Israel went around the city of Jericho, who went before of the ark of the Lord?	8-9	D	Seven priests	Armed men	Unarmed men	A and B	
Jos	6	7	In what order did the people of Israel circle the city of Jericho?	8-9	B	Seven priests blowing trumpets, armed guard, ark, rear guard	Armed men, seven priests blowing trumpets, ark, rear guard	Armed men, ark, seven priests blowing trumpets, rear guard	Ark, seven priests blowing trumpets, armed men, rear guard	
Jos	6	8	What was Joshua’s command to the people about making sounds when they circled Jericho?	10	C	Give a war cry	Raise your voices	You shall not shout or make noise until I tell you to shout	Sing praises to God	
Jos	6	9	Where did the people spend the night after the first day of marching around Jericho?	11	A	In the camp	By the wall of Jericho	At the Jordan River	In the hills overlooking Jericho	
Jos	6	10	At what time of day did the people of Israel march around Jericho on the second day?	12	B	At midnight	Early in the morning	At midday	At dusk	
Jos	6	11	What was the difference between the first day and the second day’s march around Jericho?	14	D	The people we allowed to speak	The priests did not blow the trumpets	The ark stayed in the camp	Nothing was different	
Jos	6	12	How many days did the people of Israel march around Jericho?	14	D	One	Two	Three	Six	
Jos	6	13	What was different about the seventh day’s march around Jericho?	15	C	They left at noon	The trumpets did not play	They marched around the city seven times	They didn’t take the ark with them	
Jos	6	14	What was the signal for the people of Israel to shout while they circled the city of Jericho?	16	B	Joshua raised his staff	The priests had blown the trumpets	God sent lightning from heaven	They saw the Commander of the Lord’s Army	
Jos	6	15	What did Joshua say to the people when the priests blew the trumpets on the 7th day?	16	A	Shout, for the Lord has given you the city.	Shout, for the Commander of the Lord’s Army will have victory.	Shout, for the men of war need to take their swords.	Shout, let the people of Jericho hear you.	
Jos	6	16	Jericho and all that is within it shall be _______.	17	C	Possessions for the Israelites	Returned to Egypt	Devoted to the Lord	Left untouched	
Jos	6	17	Who in Jericho would not be destroyed?	17	C	Rahab	Rahab and all of her family	Rahab and all who are with her in her house	Rahab and her husband	
Jos	6	18	Why were the Israelites to keep away from the things devoted to destruction?	18	D	So you aren’t accused of stealing	So you do not worship idols	So no one could say Jericho made them rich	If they brought an item devoted to destruction into camp, it would bring trouble	
Jos	6	19	Where were the silver, gold, and every vessel of bronze from the city of Jericho to go?	19	C	To Joshua and the Levites	To the leaders of the twelve tribes	Into the treasury of the Lord	To the priests	
Jos	6	20	What happened when the people shouted and the trumpets were blown?	20	D	The wall fell down flat	The Israelites went up into the city	Israel captured Jericho	All of the above	
Jos	6	21	What did the Israelites destroy with the sword when they took Jericho?	21	D	Men & women	Oxen	Sheep & donkeys	All of the above	
Jos	6	22	Who was to go into the prostitute's house and bring out the woman and all who belong to her?	22	A	The two spies	Joshua	Caleb	The high priest	
Jos	6	23	Who was rescued along with Rahab?	23	D	Her father and mother	Her brothers	All who belonged to her	All of the above	
Jos	6	24	Where did the spies take Rahab and those rescued with her?	23	C	Into the camp of Israel	Into the home of one of the two spies	Outside the camp of Israel	To a city of refuge	
Jos	6	25	What did the Israelites do after destroying the city of Jericho with the sword?	24	B	Plundered the silver, gold, and bronze for themselves	Burned the city with fire	Took everything of value	Held a feast	
Jos	6	26	Why was Rahab allowed to live?	25	D	She was beautiful	Because Caleb was fond of her	She was to become the wife of Joshua	She hid the messengers Joshua had sent to spy out Jericho	
Jos	6	27	Where did Rahab go to live after the fall of Jericho?	25	B	In a city of refuge	In Israel	In Midian	In the ruins of Jericho	
Jos	6	28	According to the oath of Joshua, who was cursed?	26	C	The towns surrounding Jericho	Any survivors of Jericho	The man who rises up and rebuilds the city of Jericho	Anyone who stole from the plunder of Jericho	
Jos	6	29	“So the Lord was with Joshua, and _______.”	27	A	His fame was in all the land	He became the father of many nations	All of Israel feared Joshua	He became wealthy and prosperous	
Jos	7	1	Who broke faith regarding the devoted things of Jericho?	1	D	Carmi	Zimri	Zerah	People of Israel     .	
Jos	7	2	Who took some of the devoted things from Jericho?	1	A	Achan	Carmi	Zimri	Zerah	
Jos	7	3	Against whom did the Lord’s anger burn?	1	C	Ai	Joshua	People of Israel	Survivors of Jericho	
Jos	7	4	Where was Ai?	2	B	Near Jericho	Near Beth-aven, east of Bethel	Near Beth-aven, west of Bethany	Near the Shebarim	
Jos	7	5	Why did Joshua send men to Ai?	2	D	To find a home for Rahab	To warn them of the approaching Israelites	To give them a chance to repent of their wickedness	To spy out the land	
Jos	7	6	When the men returned from Ai, what advice did they give to Joshua?	3	A	Do not have ALL the people go up against Ai	Send ten thousand men to take it	Do not take the ark into battle again	There are many men in Ai	
Jos	7	7	What happened to the three thousand men who went up against Ai?	4	B	They were victorious over Ai	They fled before the men of Ai	Israel plundered Ai	A and C	
Jos	7	8	How many Israelites were killed by the men of Ai?	5	D	1,000	100	56	36	
Jos	7	9	Where did the men of Ai chase the Israelites?	5	D	The ruins of Jericho	Back to Beth-aven	Before the gate of Bethany	Before the gate as far as Shebarim	
Jos	7	10	How did the hearts of Israel respond to their defeat by Ai?	5	D	They reinforced their army and attacked Ai again	They cursed the Lord	They offered sacrifices to the Lord	They melted and became as water	
Jos	7	11	What did Joshua do in response to the Israelite defeat by Ai?	6	D	He tore his clothes	Fell to the earth on his face before the ark of the Lord	He put dust on his head	All of the above	
Jos	7	12	What did the elders of Israel do after being defeated by Ai?	6	D	Tore their clothes	Fell to the earth on their face before the ark of the Lord	Put dust on their heads	All of the above	
Jos	7	13	What did Joshua say after the Israelite defeat by Ai?	7	B	I know we will destroy the Amorites next time!	Would that we had been content to dwell beyond the Jordan!	O Lord, we should have sent more men to fight!	Lord, why would you not give us victory?	
Jos	7	14	What did the Lord say in response to Joshua after the defeat by Ai?	10-11	D	Get up! Why have you fallen on your face?	Israel has sinned by taking some of the devoted things	Israel has stolen and lied	All of the above	
Jos	7	15	Why could the Israelites not stand against their enemies?	12	A	They had stolen items that were devoted for destruction	They lied to Joshua	They did not recognize their enemies	Their enemies were too powerful for God	
Jos	7	16	What had to be done for the Lord to remain with Israel?	12	C	Sacrifices had to be made	The people had to fast and pray for three days	Destroy the devoted things from among you	Joshua had to appoint another leader	
Jos	7	17	What was Joshua instructed to do before searching out & destroying the devoted things?	13	D	Rest	Pray	Gather manna	Consecrate the people	
Jos	7	18	In what order were the people called before the Lord when searching for the devoted things?	14	B	Clan, tribe, household, man	Tribe, clan, household, man	Man, household, clan, tribe	Household, tribe, clan, man	
Jos	7	19	What was to happen to the one caught with the devoted things?	15	A	He shall be burned with fire, he and all that he has	He would be forgiven if he returned the “devoted things”	He would be put outside the camp of Israel	He would offer sacrifices to the Lord	
Jos	7	20	Early in the morning, which tribe was taken by the Lord?	16	D	Reuben	Gad	Manasseh	Judah	
Jos	7	21	Which clan was taken?	17	C	Shelanites	Perezites	Zerahites	Hezronites	
Jos	7	22	Which family was taken?	17	B	Carmi	Zabdi	Reuben	Benjamin	
Jos	7	23	Which man was taken?	18	D	Joshua	Caleb	Phinneas	Achan	
Jos	7	24	What did Joshua say to Achan after he was exposed by the Lord?	19	D	My son, give glory to the Lord God of Israel and give praise to Him	Tell me now what you have done; do not hide it from me	Tell me what sacrifice you will make for your sin	A and B	
Jos	7	25	What did Achan say in response to Joshua?	20	A	Truly I have sinned against the Lord God of Israel	There has been a mistake – I am innocent of any wrongdoing	It is true -- but I just wanted souvenirs for my family	It wasn’t me, it was my brother’s sin	
Jos	7	26	What had Achan taken from the plunder of Jericho?	21	A	A beautiful cloak from Shinar	One hundred shekels of Silver	Fifty shekels of bronze	A wedge of gold weighing seventy shekels	
Jos	7	27	“I _______ them and took them.”	21	C	Saw	Recognized	Coveted	Stepped over	
Jos	7	28	Where had Achan hidden the items?	21	D	In the hills under a certain tree	In the tent of his tribal officer	In his clothes	In the earth inside my tent	
Jos	7	29	After Joshua sent messengers to find the items from Achan’s tent, what did they do with them?	22-23	B	Presented them at the tabernacle	Brought them to Joshua and to all the people of Israel, and laid them down before the Lord	Threw them into the Jordan River	Took them back and threw them into the ruins of Jericho	
Jos	7	30	Where did Joshua, take Achan after his sin was uncovered?	24	C	The Jordan River	The ruins of Jericho	The Valley of Achor	The camp at Gilgal	
Jos	7	31	What did Joshua say to Achan before he was punished?	25	D	Repent and confess your sins, and your life will be spared.	Why were you disobedient to the Lord?	Why did you bring this plague upon your family.	Why did you bring trouble on us? The Lord brings trouble on you today.	
Jos	7	32	What was Achan’s punishment?	25	D	Burned with fire	Banished from the camp	Stoned with stones	A and C	
Jos	7	33	Who/what was included in the punishment of Achan?	24-25	D	His sons & daughters	His oxen, donkeys, and sheep	His tent and all that he had	All of the above	
Jos	7	34	What happened to everything that belonged to Achan?	25	A	It was burned with fire	It was distributed among his clan	It was given to the priests at the tabernacle	I was given to his sons and daughters	
Jos	7	35	What was raised over Achan's dead body?	26	D	Joseph’s bones	An altar	Dead animal remains	A great heap of stones	
Jos	7	36	“Then the Lord turned from His _______.”	26	B	People	Burning anger	Servant Joshua	Desire for peace	
Jos	7	37	The place was called the Valley of Achor.  What does Achor mean?	26	C	Anger	Stolen Goods	Trouble	A and B	
