Book	Chapter	Question Number	Question	Reference Verse	Correct Answer	Answer A	Answer B	Answer C	Answer D
Luk	3	28	Which of the sons of Jacob did Jesus come from?	34	A	Judah	Joseph	Reuben	Levi
Luk	3	29	Which of the sons of Abraham did Jesus come from?	34	C	Midian	Ishmael	Isaac	Medan
Luk	3	30	Which of Noah's sons did Jesus come from?	36	B	Japheth	Shem	Ham	Canaan
Luk	3	31	Which of Adam's sons was an ancestor of Jesus Christ?	38	C	Abel	Cain	Seth	Tubal-cain
Luk	3	32	There are many Herods in the Bible. Which of them arrested John the Baptist?	1	D	Herod the Great	Herod Agrippa	Herod Agrippa II	Herod the tetrarch
Luk	4	1	Why did Jesus go to the wilderness after baptism?	1	B	He wanted to fast and pray	He was led there by the Holy Spirit	He was attempting to cross the wilderness to Judea	He was trying to avoid the crowd.
Luk	4	2	How many days did the devil tempt Jesus in the wilderness?	2	C	30 days	37 days	40 days	21 days
Luk	4	3	What did Jesus eat while He was in the wilderness?	2	D	Bread	Wild honey	Locusts	Nothing
Luk	4	4	What did the devil say Jesus as the Son of God could turn into bread?	3	A	A stone	Fish	Sand	A sandal
Luk	4	5	What did Jesus tell the devil that man should not live on?	4	B	Locusts and wild honey	Bread alone	Wine	Water
Luk	4	6	What did the devil show Jesus from a high place?	5	B	Stones	All the kingdoms of the world	Jerusalem	The heavens
Luk	4	7	What did the devil tell Jesus to do from the pinnacle of the temple?	9	B	Stretch His arms out over the city	Throw Himself down from there	Call on the name of the Lord	Bless the people of Jerusalem
Luk	4	8	What did the devil do when he was finished tempting Jesus?	13	A	Left Him until an opportune time	Left to tempt John	Continued to follow Jesus	Returned to the caves
Luk	4	9	Where did Jesus go after being in the wilderness for some days?	14	D	Bethany	Judea	Samaria	Galilee
Luk	4	10	How did the people in the synagogue in Galilee respond to Jesus?	15	C	With amazement	with anger	glorified by all	with fear
Luk	4	11	Where was Jesus brought up?	16	A	Nazareth	Capernaum	Bethlehem	Jerusalem
Luk	4	12	Whose scroll was Jesus given to read in the synagogue in Nazareth?	17	B	Jeremiah’s	Isaiah’s	Hosea’s	Ezekiel’s
Luk	4	13	Which Bible verse did Jesus read in the synagogue in Nazareth?	18	D	Isaiah 9:17	Isaiah 43:3	Isaiah 24:8	Isaiah 61:1
Luk	4	14	Who said, “Today this scripture is fulfilled in your hearing” after reading in the synagogue in Nazareth?	21	C	High Priest	A scribe	Jesus	A zealot
Luk	4	15	Where was Jesus when He said no prophet is acceptable in His hometown?	16,24	D	Jerusalem	Rome	Bethlehem	Nazareth
Luk	4	16	Zarephath was a city found in which region?	26	C	Decapolis	Galilee	Sidon	Judea
Luk	4	17	What nationality was Naaman?	27	B	Arab	Syrian	Jew	Roman
Luk	4	18	How did the people respond when Jesus gave examples of prophets who were rejected by their own people?	29	B	They marveled in His sight	They tried to throw Him off a cliff	The repented of doubting Him	They praised Him
Luk	4	19	Capernaum was found in which region of Israel?	31	A	Galilee	Syria	Samaria	Judea
Luk	4	20	In which city did Jesus cast out a demon from a man in the synagogue?	31-34	D	Caesarea Philippi	Zarephath	Nazareth	Capernaum
Luk	4	21	Simon Peter's mother-in-law was down with what illness?	38	B	Paralysis	Fever	Leprosy	Covid
Luk	4	22	Who healed Peter's mother-in-law of her sickness?	39	C	James	John	Jesus	Peter
Luk	4	23	According to Luke, demons acknowledged Jesus as what?	34&41	D	Son of God & Christ	The Holy One of God	The Savior of mankind.	A & B
Luk	4	24	In Luke 4, what did Jesus tell the crowds was the reason for His having been sent?	43	B	Heal the blind	To preach the good news	To feed the hungry	To bless the poor in spirit
Luk	5	1	Where was Jesus when the crowd was pressing in on Him?	1	D	Jerusalem	Wilderness of Judea	River Jordan	Lake of Gennesaret
Luk	5	2	Why were the fishermen not in their boats?	2	A	They were washing their nets	They were off to sell their fish	They were mending their net	They were gone to the house
Luk	5	3	Whose boat did Jesus enter to teach the people?	3	C	John	James	Simon Peter	Thomas
Luk	5	4	Jesus got into the boat; what favor did Jesus ask of Simon?	3	C	He asked for some fish	He asked to borrow the boat	He asked to put out a little from the land	He asked to go across the Lake
Luk	5	5	What did Jesus do while on the water in Simon’s boat?	3	B	Fished	Taught	Slept	Rested
Luk	5	6	Why was Peter hesitant to go fishing when Jesus asked him to let down the nets?	5	A	They had toiled all night and took nothing	They were tired	Their nets were broken	The weather looked bad
Luk	5	7	Why did Simon put out his nets in deep water?	5	D	It was warmer than the shallow water	James & John suggested it	The fish had been biting there	Jesus told him to
Luk	5	8	Why did Simon signal the partners in the other boat to help them?	6-7	D	They were tired of fishing	A strong wind had begun to blow	The boat had a leak	They caught so many fish their nets were breaking
Luk	5	9	What was the relationship between Simon and James and John, the sons of Zebedee?	10	A	Partners	Half-brothers	Cousins	Simon was their grandfather
Luk	5	10	What did Jesus tell Simon, James, and John they would ‘now’ fish for, which caused them to leave their boats and follow Jesus?	10-11	A	Men (& women)	Compliments	Words of comfort	Pleasure
Luk	5	11	The man who said, "Lord, if you will, you can make me clean," was suffering from what?	12	D	Bleeding	Paralysis	Fever	Leprosy
Luk	5	12	What type of sacrifices was the leper Jesus healed supposed to offer?	14	A	Offering for cleansing	Sacrifices for forgiveness	Sacrifices of atonement	Sacrifices of redemption
Luk	5	13	What resulted when Jesus' fame grew?	15	C	The Pharisees sought to kill Him	Herod wanted to arrest Him	Great crowds came to Him to be healed & hear	People stopped going to the synagogue
Luk	5	14	What did Jesus do when He withdrew to desolate places?	16	D	Slept	Wrote scripture	Sang	Prayed
Luk	5	15	What was wrong with the man who was lowered down through a roof so Jesus could heal him?	18-19	A	Paralyzed	Bleeding	Blind	Deaf
Luk	5	16	What did Jesus do when He saw the faith of those who lowered the man through the roof?	20	C	Told him to wash in the river	Told them to repair the roof tiles	Forgave the man’s sins	Praised the friends
Luk	5	17	Why did the scribes and Pharisees think that Jesus had blasphemed?	20-21	B	It was because He claimed to be God	Because He forgave a man’s sins	Because He claimed to be the I AM	Because He spoke against the Pharisees
Luk	5	18	What did Jesus want the people to know He had the authority to do?	24	D	Repair ceiling tiles	Praise the friends	Heal the paralyzed	Forgive sins
Luk	5	19	What did the man who had been lowered through the roof do after Jesus healed him?	25	A	Stood up, took his mat, & went home, glorifying God	Wept	Kissed the Lord on His cheek	Ran from the room
Luk	5	20	What was the name of the tax collector who had a banquet for Jesus?	27-29	A	Levi	John	James	Peter
Luk	5	21	Who complained that Jesus ate and drank with tax collectors and sinners?	30	B	Other disciples	Pharisees and scribes	Levites	Sadducees and scribes
Luk	5	22	What analogy did Jesus use to answer the question about eating with tax collectors and sinners?	31	A	The sick, who need a doctor	The deaf who need to hear	The Lawbreakers, who need prison	The angry, who need prayer
Luk	5	23	What did some notice that Jesus’ disciples did not do?	33	C	Eat and drink	weep and mourn	Fast often and offer prayers	Sing and dance
Luk	5	24	Who tears a piece from a new garment to put on an old garment?	36	C	Everyone	Talented seamstresses	No one	Beginning seamstresses
Luk	5	25	Why should new wine not be put into old wineskins?	37	D	The skins would shrink	The wine would turn bitter	The wind would not ferment	The skins would burst
Luk	6	1	On what day of the week were Jesus and His disciples seen picking and eating heads of grain?	1-2	C	Sunday	Wednesday	The Sabbath	Text doesn’t say
Luk	6	2	Jesus reminded the Pharisees that who ate the bread of the Presence that was only for the priests?	3-4	A	David	Jonah	Moses	Isaac
Luk	6	3	What was wrong with the man Jesus healed on the Sabbath in Luke 6?	6	D	Blindness	Bleeding	Paralysis	His hand was withered
Luk	6	4	Which of his hand(s) was withered?	6	B	Left	Right	Both	Text doesn’t say
Luk	6	5	What was the reaction of the Pharisees and scribes when Jesus healed the man in Luke 6?	11	A	They were filled with fury	They were terrified	They were amazed	They praised God
Luk	6	6	What did Jesus do the night before He called His apostles?	12	C	Fasted	Wept	Prayed	All of the above
Luk	6	7	How many disciples did Jesus call in Luke 6?	13	D	Five	Ten	Seven	Twelve
Luk	6	8	What term did Jesus use for the disciples that He called?	13	C	Super apostles	Super disciples	Apostles	The Twelve
Luk	6	9	By what other name was Simon called?	14	A	Peter	Andrew	James	John
Luk	6	10	Who was called the Zealot?	15	C	Matthew	Thomas	Simon	James
Luk	6	11	Why did people from all Judea, Jerusalem, Tyre, and Sidon come to Jesus?	17-18	D	To hear Him	To be healed of diseases	To be cured of unclean spirits	All of the above
Luk	6	12	How many of the people who came to Jesus from Judea, Jerusalem, Tyre, and Sidon did He heal?	19	B	None of them	All of them	Many of them	Text doesn’t say
Luk	6	13	To whom did Jesus say the Kingdom of Heaven belonged?	20	A	The poor	The grieved	The hungry	The despised
Luk	6	14	Why should you rejoice when someone excludes you on account of the Son of Man?	22-23	C	You shall laugh	You will be satisfied	Great is your reward	You will receive consolation
Luk	6	15	What did Jesus teach the believers to do with those who hate them?	27	D	Avoid them	Accommodate them	Take them to court	Do good to them
Luk	6	16	What did Jesus say you should do for one who abuses you?	28	B	Sing	Pray	Speak	Fast
Luk	6	17	Why is it of no benefit to you if you love those who love you?	32	A	Even sinners do that	Disciples do that	Many do that	Mothers do that
Luk	6	18	What is the benefit if you forgive?	37	C	You will not be judged	You will not be condemned	You will be forgiven	All of the above
Luk	6	19	Why should believers not judge?	37	B	Or they will fall away	Or they will be judged	Or they won’t be children of God	Or they will give the devil a foothold
Luk	6	20	Why should a believer practice giving?	38	D	So that he will please God	So that he will never be in need	So that he will receive God's mercy	So that he will receive more
Luk	6	21	According to Luke 6, what will happen if the blind leads the blind?	39	C	They will not know where to go	They will both perish	They will both fall into a pit	They will never get to their destination
Luk	6	22	Who will everyone who is fully trained be like?	40	A	His teacher	A parent	An expert	A judge
Luk	6	23	What should you do before removing the speck from your brother’s eye?	42	D	Rinse out your eyes	Remove the speck from your own eye	Close your eyes	Remove the log from your own eye
Luk	6	24	How is each tree recognized?	44	A	By its own fruit	By its leaves	By its trunk	By its height
Luk	6	25	What does the mouth speak?	45	B	Goodness	The abundance of the heart	Badness	The abundance of the body
Luk	6	26	Who is like a man who built his house on a firm foundation?	47-48	D	He who comes in the name of the Lord	He who listens to the word of God	He who is kind to others	He who hears and does God’s Words
Luk	6	27	Who is like a man who builds his house without a foundation?	49	C	He who is ignorant	He who does not believe in Jesus	He who doesn’t do the words of God	He who hates his brother
Luk	7	1	In which town did the centurion live?	1-2	C	Bethsaida	Nazareth	Capernaum	Caesarea
Luk	7	2	What was wrong with the centurion’s servant in Luke 7?	2	C	He had a demon	He had a withered hand	He was sick and at the point of death	He was blind
Luk	7	3	Who went to ask Jesus to heal the centurion’s servant?	3	B	The Sadducees	The elders of the Jews	The scribes	The Pharisees
Luk	7	4	What good deed did the centurion do for the Jews?	5	D	He built a temple for the Jews.	He gave gifts to the Jews.	He released a lot of Jews from prison.	He built a synagogue for the Jews.
Luk	7	5	Who did not consider himself worthy enough to go to Jesus himself?	7	A	The centurion	The centurion’s servant	The centurion’s wife	The Jewish elders
Luk	7	6	What did Jesus marvel at?	9	C	The faith of the centurion’s servant	The faith of the Jewish leaders	The centurion’s faith	John the Baptist’s faith
Luk	7	7	In which city did Jesus heal the widow's son?	11-12	B	Bethsaida	Nain	Caesarea Philippi	Bethany
Luk	7	8	What miracle did Jesus perform in Nain?	12-15	D	Turned water to wine	Raised the daughter of a widow from the dead	Healed the centurion’s servant	Raised the son of a widow from the dead
Luk	7	9	When did Jesus heal the widow's son?	10	A	After healing centurion’s servant	At the same time He healed the centurion’s servant	Before healing the centurion’s servant	Text doesn’t say
Luk	7	10	John the Baptist sent how many of his disciples to ask Jesus a question?	19	C	4 disciples	3 disciples	2 disciples	7 disciples
Luk	7	11	What was John the Baptist's question to Jesus?	19	C	He asked whether Jesus would help him out or not.	He asked to know whether he would recover from his sickness or not.	He asked Jesus whether He was the one who is to come or if they should look for another.	He asked to know whether he had completed his work.
Luk	7	12	What did Jesus tell John the Baptist’s disciples to tell him?	22-23	D	The lame walk	The blind receive sight	Lepers are cleansed	All of the above
Luk	7	13	What did Jesus say that those in the crowd who had gone into the wilderness to see John went to see?	26	C	A reed shaken by the wind	A man dressed in splendid clothes	A prophet, more than a prophet	The luxury of a king’s court
Luk	7	14	Who did Jesus say, “of those born of women, there is no one greater”?	28	B	Peter	John the Baptist	Andrew	James
Luk	7	15	Why did the Pharisees and the lawyers reject God’s purpose for them?	30	C	They had not been baptized by Jesus	They did not want to repent	They had not been baptized by John	They feared the Sadducees
Luk	7	16	To what did Jesus compare the people of that generation?	32	D	Mother’s weeping for their children	Dogs running in the streets	Fathers praying for their children	Children sitting in the marketplace
Luk	7	17	What was said of John, though he came eating no bread and drinking no wine?	33	A	He has a demon	He deserved to be punished	He was a glutton	He was an Essene
Luk	7	18	According to Luke 7, what did the Jews accuse Jesus of?	34	C	They accused Him of teaching falsely.	They accused Him of being a liar	They accused Him of being a glutton	They accused Him of being a demon
Luk	7	19	What was in the alabaster flask that the woman took to the home where Jesus was eating?	37	C	Wine	Vinegar	Ointment	Healing oils
Luk	7	20	What did the woman use to wash Jesus' feet?	38	B	Water	Her tears	Expensive oil	Her hair
Luk	7	21	What did the woman use to wipe Jesus' feet?	38	A	Her hair	Her tears	Her dress	Her scarf
Luk	7	22	What was the name of the Pharisee who invited Jesus to dine with him?	40	D	Nicodemus	Annas	Gamaliel	Simon
Luk	7	23	Jesus told a parable of two debtors. How much did the first debtor owe the moneylender?	41	C	5 denarii	50 denarii	500 denarii	5,000 denarii
Luk	7	24	How much did the second debtor owe the moneylender in Jesus’ parable?	41	B	5 denarii	50 denarii	500 denarii	5,000 denarii
Luk	7	25	Who does Jesus say loves a moneylender more?	43	A	The one with the larger debt forgiven	Both love him equally	One with the smaller debt forgiven	Text doesn’t say
Luk	7	26	Who had failed to give Jesus water for his feet, kissing Him, or anointing His head?	44-47	D	Nicodemus	Annas	Gamaliel	Simon
Luk	7	27	Whom did Jesus credit with giving Him water for His feet, kissing Him, and anointing His feet?	44-47	A	The sinful woman	Simon’s mother	Simon’s wife	Simon’s sister
Luk	7	28	In chapter 7, whose many sins were forgiven?	47	A	The sinful woman	Jesus’ apostles	Simon’s	The Pharisees’
Luk	7	29	Why did those at the table say among themselves, "Who is this, who even forgives sins?"	49	D	It was because Jesus said He had forgiven all those at the table	It was because Jesus taught that He could forgive sins	It was because Jesus forgave the Pharisee who invited Him to dinner.	It was because Jesus said the sinful woman's sins were forgiven.
Luk	7	30	What did Jesus tell the woman had saved her?	50	C	Her kindness	Her work	Her faith	His grace
Luk	8	1	What was unique about the women who traveled with Jesus and the twelve in Luke 8?	2	B	They were Samaritans	They had been cured of evil spirits & diseases	They were converted Gentiles	They sold purple cloth
Luk	8	2	Out of what did the women who traveled with Jesus and the twelve support them?	3	D	Profits from their husbands	House cleaning work in the towns they visited	Profits from their business	Their own means
Luk	8	3	Who was Joanna's husband?	3	B	Simeon	Chuza	Jonas	Eber
Luk	8	4	Who was Joanna's husband working for?	3	A	Herod	Tiberius Caesar	Pontius Pilate	The scribes
Luk	8	5	In the parable of the sower, what happened to the seed that fell along the path?	5	A	It was trampled and eaten by birds	It grew and was choked by thorns	It grew to be plants that withered	It grew to a crop that was 100 times more
Luk	8	6	Why did the seed among rocks wither away?	6	D	It was because the rocks fell on it.	It was because the rocks choked it.	It was because the rocks did not contain nutrients	It was because it had no moisture.
Luk	8	7	In the parable of the sower, what happened to the seed that fell on good soil?	8	C	It was trampled and eaten by birds.	It grew to be plants that withered.	It grew to a crop that was 100 times more.	It grew and was choked by thorns.
Luk	8	8	To whom did Jesus explain the parable of the sower?	9	B	The scribes	His disciples	Nicodemus	The Pharisees
Luk	8	9	Why was the word of God delivered in parables to the people?	10	C	So that they might believe and be saved	So that they might understand the word of God well	So that seeing they might not see, and hearing they might not understand	So that they would acknowledge that Jesus is the Christ
Luk	8	10	To what was Jesus referring when He said, “seeing they may not see, and hearing they may not understand?”	10	D	The attitudes of the women	The confusion of the Pharisees	The attitudes of the Pharisees	The reason He spoke in parables
Luk	8	11	In the parable of the sower, what does the seed represent?	11	C	The hearers of God’s Word	Those who refuse to listen	The Word of God	Those who believe
Luk	8	12	Why does the devil steal the word of God from the hearts of men?	12	A	So that they will not believe it and be saved	So that they will not prosper	So that they will not remember it	So that they will not understand
Luk	8	13	In the parable of the sower, what does the seed on good soil stand for?	15	A	Those with an honest & good heart	Those who have no roots	Those who are choked by life’s worries	Those from whom the devil has taken the word away
Luk	8	14	Where does one put a lamp that has been lit?	16	C	Under a bed	Under a clay jar	On a stand	Text doesn’t say
Luk	8	15	What did Jesus call those who hear God’s Word and put it into practice?	21	A	His mother and brothers	His aunts and uncles	His brother and sisters	His mother and father
Luk	8	16	What was Jesus doing at the time the storm started?	23	B	He was saying a parable	He was asleep	He was reading the scriptures of Isaiah.	He was resting.
Luk	8	17	What occurred when a windstorm came up as Jesus and His disciples were on the boat?	23	D	The boat remained dry	The boat overturned	The boat sank	The boat was filling with water
