"Exodus 3:19","Who will not let the people go unless compelled by a mighty hand?","Pharaoh","Moses","The elders of Israel","The God of the Hebrews","The people of Egypt"
"Exodus 3:20","What will the Lord stretch out to strike Egypt with?","His hand","A plague","Moses’ staff","The army of Israel","The voice of the Lord"
"Verse","Question","Correct Answer","Incorrect Answer 1","Incorrect Answer 2","Incorrect Answer 3","Incorrect Answer 4"
"Exodus 4:1","Who said, 'But behold, they will not believe me or listen to my voice?'","Moses","Aaron","Pharaoh","Jethro","God"
"Exodus 4:2","What was in Moses' hand?","A staff","A sword","A scroll","A shield","A stone"
"Exodus 4:3","What did the staff become when Moses threw it on the ground?","A serpent","A flower","A bird","A rod of light","A tree"
"Exodus 4:4","What did the Lord tell Moses to catch the serpent by?","Its tail","Its head","Its middle","Its tongue","Its scale"
"Exodus 4:5","Why did God turn the staff into a serpent and back into a staff?","That they may believe that the Lord appeared to him","To show his power","To scare Moses","To warn Pharaoh","As a test of faith"
"Exodus 4:6","What became leprous like snow when Moses put his hand into his cloak?","His hand","His staff","His cloak","His chest","His feet"
"Exodus 4:7","What happened when Moses took his hand out of his cloak for the second time?","It was restored like the rest of his flesh","It remained leprous","It turned into stone","It became stronger","It shrank"
"Exodus 4:8","Who will believe the voice of the first sign?","If they will not believe you","The elders of Israel","The children of Israel","Pharaoh","The Egyptians"
"Exodus 4:9","If they will not believe even these two signs, what should Moses do with water from the Nile?","Pour it on the dry ground","Drink it","Offer it as a sacrifice","Give it to Pharaoh","Sprinkle it on the people"
"Exodus 4:10","Who said, 'Oh, my Lord, I am not eloquent?'","Moses","Aaron","Pharaoh","Jethro","Joshua"
"Exodus 4:11","Who makes man mute, or deaf, or seeing, or blind?","The Lord","Moses","Pharaoh","Nature","The gods"
"Exodus 4:13","What did Moses ask God to send by the hand of someone else?","Please send someone else","A message to Pharaoh","A plague on Egypt","The staff that turns into a serpent","The Israelites out of Egypt"
"Exodus 4:14","Who was the spokesman for Moses to the people?","Aaron","Joshua","Miriam","Jethro","Caleb"
"Exodus 4:15","Who shall speak to the people for Moses?","Aaron","Moses","Jethro","Pharaoh","Joshua"
"Exodus 4:16","Who shall be as God to Pharaoh?","Moses","Aaron","The Lord","An angel","Jethro"
"Exodus 4:17","What must Moses take in his hand?","This staff","A sword","A scroll","A shield","A crown"
"Exodus 4:19","Who sought Moses' life?","The Lord","Aaron","The Egyptians","The Israelites","Jethro"
"Exodus 4:21","Who will harden Pharaoh's heart?","The Lord","Moses","Aaron","The Israelites","The Egyptians"
"Exodus 4:24","Who sought to put him to death?","The Lord","Pharaoh","Aaron","An Egyptian","An Israelite"
"Exodus 4:25","What did Zipporah touch to Moses' feet?","A flint knife","Her hand","A staff","A serpent","A crown"
"Verse","Question","Correct Answer","Incorrect Answer 1","Incorrect Answer 2","Incorrect Answer 3","Incorrect Answer 4"
"Exodus 5:1","Who said, 'Let my people go, that they may hold a feast to me in the wilderness?'","Moses and Aaron","Pharaoh","The Israelites","Jethro","The Egyptians"
"Exodus 5:2","Who said, 'Who is the Lord, that I should obey his voice and let Israel go?'","Pharaoh","Moses","Aaron","The taskmasters","An Israelite"
"Exodus 5:3","What did Moses and Aaron say the God of the Hebrews had met with them?","The Lord","A sign","A prophecy","A scroll","A plague"
"Exodus 5:4","Who said, 'Get back to your burdens' to Moses and Aaron?","The king of Egypt","The Lord","The Israelites","The taskmasters","Jethro"
"Exodus 5:5","Who said, 'Behold, the people of the land are now many, and you make them rest from their burdens!'?","Pharaoh","Moses","Aaron","The taskmasters","An Israelite"
"Exodus 5:6","Who gave orders to the taskmasters of the people and their foremen?","Pharaoh","Moses","Aaron","The Israelites","Jethro"
"Exodus 5:7","What were the people no longer given to make bricks?","Straw","Mud","Water","Tools","Time"
"Exodus 5:8","What quota of bricks did the people have to make each day?","The same as when they were given straw","Double","Half","As much as they could","None"
"Exodus 5:9","What should not be reduced so the people will be occupied with it?","The number of bricks","The supply of straw","The number of workers","The working hours","The severity of labor"
"Exodus 5:10","Who told the people, 'Thus says Pharaoh: I will not give you straw.'?","The taskmasters and the foremen","Moses and Aaron","Pharaoh himself","The Israelites","The priests"
"Exodus 5:12","Where did the people scatter throughout the land of Egypt to gather stubble for straw?","The people of Israel","The taskmasters","The foremen","Moses and Aaron","The Egyptians"
"Exodus 5:13","Who said, 'Complete your work, your daily task each day, as when there was straw.'?","The taskmasters","Pharaoh","Moses","Aaron","The Israelites"
"Exodus 5:14","Who were beaten and asked, 'Why have you not done all your task of making bricks today and yesterday, as in the past?'?","The foremen of the people of Israel","The taskmasters","Moses and Aaron","The Egyptian workers","The slaves"
"Exodus 5:15","Who cried to Pharaoh for relief from the work and beatings?","The foremen of the people of Israel","Moses and Aaron","The taskmasters","The slaves","The Egyptian citizens"
"Exodus 5:17","Who said, 'You are idle, idle; that is why you say, “Let us go and sacrifice to the Lord.”'?","Pharaoh","Moses","Aaron","The taskmasters","An Israelite"
"Exodus 5:19","Who saw that they were in trouble when they were told, 'You shall by no means reduce your number of bricks, your daily task each day.'?","The foremen of the people of Israel","The taskmasters","Pharaoh","Moses and Aaron","The slaves"
"Exodus 5:21","Who said to Moses and Aaron, 'The Lord look on you and judge, because you have made us stink in the sight of Pharaoh and his servants, and have put a sword in their hand to kill us.'?","The foremen","The taskmasters","The Israelites","The slaves","The Egyptians"
"Exodus 5:22","Who said to the Lord, 'Why have you done evil to this people? Why did you ever send me?'","Moses","Aaron","The foremen","Pharaoh","The taskmasters"
"Exodus 5:23","Who said, 'For since I came to Pharaoh to speak in your name, he has done evil to this people, and you have not delivered your people at all.'?","Moses","Aaron","The foremen","The taskmasters","The Israelites"
"Verse","Question","Correct Answer","Incorrect Answer 1","Incorrect Answer 2","Incorrect Answer 3","Incorrect Answer 4"
"Exodus 6:1","Who said to Moses, 'Now you shall see what I will do to Pharaoh?","The Lord","Aaron","Pharaoh","An angel","Jethro"
"Exodus 6:2","Who spoke to Moses and said to him, 'I am the Lord'?","God","Pharaoh","Aaron","An angel","Jethro"
"Exodus 6:3","By what name was God not known to Abraham, Isaac, and Jacob?","The Lord","El Shaddai","Jehovah","Elohim","Adonai"
"Exodus 6:4","What did God establish with Abraham, Isaac, and Jacob?","My covenant","The ten commandments","The Sabbath law","The laws of Moses","The golden rule"
"Exodus 6:5","Who has heard the groaning of the people of Israel?","God","Pharaoh","Moses","Aaron","The Egyptians"
"Exodus 6:6","What will God do with outstretched arm and with great acts of judgment?","Bring the people of Israel out of Egypt","Destroy Pharaoh","Restore the covenant","Reveal his name","Bless the Egyptians"
"Exodus 6:7","Who will take the people of Israel to be His people?","I will","Moses","Aaron","Pharaoh","The elders of Israel"
"Exodus 6:8","What land did God promise to give to the Israelites as a possession?","The land of Canaan","The land of Egypt","The wilderness","The promised land","The land of milk and honey"
"Exodus 6:9","Why did the people of Israel not listen to Moses?","Because of their broken spirit and harsh slavery","They didn’t believe him","Pharaoh prevented them","They were afraid","They doubted God"
"Exodus 6:10","To whom did the Lord speak, saying, 'Go in, tell Pharaoh king of Egypt to let the people of Israel go out of his land'?","Moses","Aaron","The elders of Israel","The people of Israel","Joshua"
"Exodus 6:12","Why did Moses think Pharaoh would not listen to him?","Because of his uncircumcised lips","He was afraid of Pharaoh","The Israelites didn’t listen to him","He didn’t have God’s support","He was not eloquent"
"Exodus 6:13","Who did the Lord command to bring the people of Israel out of the land of Egypt?","Moses and Aaron","Moses only","Aaron only","The elders of Israel","The people of Israel"
"Exodus 6:14","Who was the father of Reuben, Simeon, Levi, and Judah?","Israel","Moses","Aaron","Jacob","Abraham"
"Exodus 6:16","Who were the sons of Levi?","Gershon, Kohath, and Merari","Reuben, Simeon, and Judah","Moses, Aaron, and Miriam","Jacob, Isaac, and Abraham","Joseph, Benjamin, and Dan"
"Exodus 6:20","Who was the father of Aaron and Moses?","Amram","Jacob","Izhar","Hebron","Uzziel"
"Exodus 6:23","Who did Aaron marry?","Elisheba","Miriam","Jochebed","Zipporah","Sarah"
"Exodus 6:26","Who were sent to bring Israel out of Egypt by their hosts?","Moses and Aaron","Pharaoh","The elders of Israel","Joshua and Caleb","Gershon and Kohath"
"Exodus 6:27","Who spoke to Pharaoh king of Egypt about bringing the people of Israel out of Egypt?","Moses and Aaron","Amram and Jochebed","The elders of Israel","Reuben and Simeon","Levi and Judah"
"Exodus 6:28","On what day did the Lord command Moses to go to Pharaoh?","The day when the Lord spoke to Moses","The Sabbath","The first day of Nisan","The day of Atonement","The tenth day of the month"
"Exodus 6:29","Who told Moses, 'I am the Lord; tell Pharaoh king of Egypt all that I say to you'?","The Lord","Aaron","An angel","The voice from the burning bush","The elders of Israel"
"Verse","Question","Correct Answer","Incorrect Answer 1","Incorrect Answer 2","Incorrect Answer 3","Incorrect Answer 4"
"Exodus 7:1","Who made Moses like God to Pharaoh?","The Lord","Aaron","Pharaoh","Jethro","The Israelites"
"Exodus 7:2","Who shall speak all that the Lord commands?","Moses","Aaron","Pharaoh","The Israelites","The magicians of Egypt"
"Exodus 7:3","Who will harden Pharaoh’s heart?","I will","Moses","Aaron","The Israelites","The magicians of Egypt"
"Exodus 7:4","Who will not listen to Moses?","Pharaoh","Aaron","The Israelites","The magicians of Egypt","Jethro"
"Exodus 7:5","Who will know that I am the Lord?","The Egyptians","Moses","Aaron","The Israelites","Pharaoh"
"Exodus 7:6","Who did as the Lord commanded them?","Moses and Aaron","Pharaoh","The Israelites","The magicians of Egypt","The elders of Israel"
"Exodus 7:7","How old was Moses and how old was Aaron when they spoke to Pharaoh?","Eighty and eighty-three years old","Ninety and eighty-seven years old","Seventy and seventy-five years old","Sixty and sixty-five years old","One hundred and ninety-seven years old"
"Exodus 7:9","What should Aaron cast down before Pharaoh that it may become a serpent?","His staff","His ring","A rock","A scroll","His crown"
"Exodus 7:10","What became a serpent when Aaron cast it down before Pharaoh and his servants?","Aaron’s staff","Moses’ staff","Pharaoh’s crown","A stone","A piece of cloth"
"Exodus 7:11","Who also did the same by their secret arts?","The magicians of Egypt","The servants of Pharaoh","The Israelites","Moses and Aaron","The elders of Egypt"
"Exodus 7:12","What did Aaron’s staff swallow?","Their staffs","Their snakes","Their scrolls","Their rings","Their crowns"
"Exodus 7:13","Who remained hardened?","Pharaoh’s heart","Aaron","The magicians of Egypt","The Israelites","The servants of Pharaoh"
"Exodus 7:14","Who was stubborn and refused to let the people go?","Pharaoh","Aaron","Moses","The magicians of Egypt","The elders of Israel"
"Exodus 7:16","Who said to let the people go, that they may serve me in the wilderness?","The Lord","Moses","Aaron","The magicians of Egypt","The elders of Israel"
"Exodus 7:17","By what will you know that I am the Lord?","By this: behold, I will strike the water that is in the Nile with the staff that is in my hand, and it shall turn into blood","By a sign in the sky","By the death of the firstborn","By the plagues","By the parting of the Red Sea"
"Exodus 7:19","What did the Lord say to Moses to tell Aaron to stretch out his hand over the waters of Egypt?","To turn them into blood","To part them","To bless them","To curse them","To make them undrinkable"
"Exodus 7:20","What did the water in the Nile turn into when Aaron stretched out his hand?","Blood","Wine","Sand","Mud","Fire"
"Exodus 7:21","Why could the Egyptians not drink water from the Nile?","Because the water was turned into blood","Because of a curse","Because of the smell","Because of a plague","Because Pharaoh forbade it"
"Exodus 7:22","What did the magicians of Egypt do by their secret arts?","Did the same","Turned staffs into serpents","Parted the waters","Summoned frogs","Healed the waters"
"Exodus 7:23","What did Pharaoh do instead of listening to Moses and Aaron?","Turned and went into his house","Listened and let the Israelites go","Begged for mercy","Declared war","Called for a feast"
